Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON1049/S1/02,Mathematical Economics and Econometrics,Seminar,19,Friday,10:00,11:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON2028/S1/01,Microeconomic Theory,Seminar,20,Friday,11:00,12:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"4, 6, 8, 10, 12, 14"
ECON1049/S1/01,Mathematical Economics and Econometrics,Seminar,19,Friday,11:00,12:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON2028/S1/05,Microeconomic Theory,Seminar,20,Friday,11:00,12:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"5, 7, 9, 11, 13"
ECON2028/S1/02,Microeconomic Theory,Seminar,20,Friday,12:00,13:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"4, 6, 8, 10, 12, 14"
ECON2028/S1/06,Microeconomic Theory,Seminar,20,Friday,12:00,13:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"5, 7, 9, 11, 13"
ECON4046/S1/01,Economic Data Analysis,Seminar,11,Friday,13:00,14:00,1:00,PB-413(COMP)+,Portland Building-Computer Lab 413 - Level 4,24,Chew Lian Chua (Michael),"2, 4-12"
ECON3074/S1/01,Advanced Development Economics,Seminar,8,Friday,13:00,14:00,1:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Simon Appleton,"2, 4-13"
ECON1033/S1/07,Introduction to Microeconomics,Seminar,20,Friday,13:00,14:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON2037/S3/01,Development Economics,Seminar,53,Friday,13:00,16:00,3:00,TB-405+,Teaching Building Seminar Room 405 - Level 4,64,Xuyan Lou,13
ECON1033/S1/08,Introduction to Microeconomics,Seminar,20,Friday,14:00,15:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON1035/S1/03,Economic Integration I,Seminar,19,Friday,14:00,16:00,2:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Chang Liu,"7, 12"
ECON3073/L1/01,Advanced Mathematical Economics,Lecture,51,Friday,15:00,17:00,2:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Xuewen Qian,"2, 4-10"
ECON1033/S1/09,Introduction to Microeconomics,Seminar,20,Friday,15:00,16:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON1042/S1/03,Growth and Development in Long-Run Historical Perspective,Seminar,19,Friday,15:00,16:30,1:30,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Sinchan Mitra,"7, 10, 13"
ECON2028/S1/03,Microeconomic Theory,Seminar,20,Friday,16:00,17:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"4, 6, 8, 10, 12, 14"
ECON2028/S1/07,Microeconomic Theory,Seminar,20,Friday,16:00,17:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"5, 7, 9, 11, 13"
ECON1035/S1/04,Economic Integration I,Seminar,19,Friday,16:00,18:00,2:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Chang Liu,"7, 12"
ECON1042/S1/01,Growth and Development in Long-Run Historical Perspective,Seminar,19,Friday,16:30,18:00,1:30,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Sinchan Mitra,"7, 10, 13"
ECON2028/S1/04,Microeconomic Theory,Seminar,20,Friday,17:00,18:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"4, 6, 8, 10, 12, 14"
ECON2028/S1/08,Microeconomic Theory,Seminar,20,Friday,17:00,18:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,"5, 7, 9, 11, 13"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weeks 2 & 4-14 = Autumn semester; Weeks 23-34 = Spring semester,,,,,,,,,,,,
