Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MMME1039/P1/01,Statics and Dynamics,Practical,1,Wednesday,15:00,18:00,3:00,PMB-202*,PMB Lab Room 202 - Level 2 - Geotechic Lab,20,"Robert Pierce,Jiawa Lu,A New Me Technician 2",10
MMME1043/P1/03,Materials and Manufacturing,Practical,9,Wednesday,15:00,18:00,3:00,"IAMET-101(Lab)+,PMB-116*","IAMET-101,PMB - Lab Room 116 - Level 1 - Engineering Application workshop","18,18","Dawei Chen,Xiaoling Liu,Xiao Hua,Hao Chen",10
MMME1039/P1/03,Statics and Dynamics,Practical,1,Wednesday,15:00,18:00,3:00,PMB-202*,PMB Lab Room 202 - Level 2 - Geotechic Lab,20,"Robert Pierce,Jiawa Lu,A New Me Technician 2",11
MMME1039/P1/02,Statics and Dynamics,Practical,1,Wednesday,15:00,18:00,3:00,PMB-202*,PMB Lab Room 202 - Level 2 - Geotechic Lab,20,"Robert Pierce,Jiawa Lu,A New Me Technician 2",12
MMME1043/P1/04,Materials and Manufacturing,Practical,9,Wednesday,15:00,18:00,3:00,"IAMET-101(Lab)+,PMB-116*","IAMET-101,PMB - Lab Room 116 - Level 1 - Engineering Application workshop","18,18","Dawei Chen,Xiaoling Liu,Xiao Hua,Hao Chen",12
MMME1019/P1/A,Thermodynamics & Fluid Mechanics 1,Practical,20,Wednesday,15:00,18:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Xinyu Zhang",12
MMME1019/P1/C,Thermodynamics & Fluid Mechanics 1,Practical,20,Wednesday,15:00,18:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Xinyu Zhang",13
MMME1043/P1/05,Materials and Manufacturing,Practical,9,Wednesday,15:00,18:00,3:00,"IAMET-101(Lab)+,PMB-116*","IAMET-101,PMB - Lab Room 116 - Level 1 - Engineering Application workshop","18,18","Dawei Chen,Xiaoling Liu,Xiao Hua,Hao Chen",14
MMME1019/P1/B,Thermodynamics & Fluid Mechanics 1,Practical,20,Wednesday,15:00,18:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Xinyu Zhang",14
,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MMME2023/P1/01,2nd year design projects,Practical,1,Thursday,9:00,17:00,8:00,PMB-205*,PMB Lab Room 205 - Level 2 - PDM Lab,50,"Amarpreet Gill,A Pdm New Staff","2, 4-13"
MMME2042/L1/01,"Design, Manufacture and Project",Lecture,38,Thursday,9:00,11:00,2:00,PB-312+,Portland Building-Seminar Room 312 - Level 3,48,Adam Rushworth,"2, 4-14"
MMME3026/L1/01,Computer Modelling Techniques,Lecture,38,Thursday,9:00,12:00,3:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,"Dunant Halim,Robert Pierce,Xiaogang Yang","2, 4-14"
MMME2017/S1/01,Thermodynamics & Fluid Mechanics 2,Seminar,27,Thursday,11:00,12:00,1:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Yong Shi,"2, 4-14"
MMME1044/S1/01,Engineering Design and Design Project,Seminar,98,Thursday,11:00,13:00,2:00,DB-C05+,The Lord Dearing Building - Teaching Room C05,160,"Kok-Hoong Wong,Xiaoling Liu,Gavin Lai","2, 4-14"
MMME3035/L1/01,Manufacturing Process Capability,Lecture,50,Thursday,12:00,14:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,Adam Rushworth,"2, 4-14"
MMME3038/S1/01,Thermofluids 3,Seminar,16,Thursday,13:00,14:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Xinyu Zhang,"2, 4-14"
MMME1039/S1/01,Statics and Dynamics,Seminar,98,Thursday,15:00,16:00,1:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,"Robert Pierce,Jiawa Lu","2, 4-14"
MMME3024/P1/01,Computer Aided Engineering,Practical,30,Thursday,15:00,18:00,3:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,Li Guang,"2, 4-14"
MMME1019/L1/01,Thermodynamics & Fluid Mechanics 1,Lecture,100,Thursday,16:00,18:00,2:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Xinyu Zhang,"2, 4-14"
MMME2017/E1/01,Thermodynamics & Fluid Mechanics 2,Exams,27,Thursday,16:00,18:00,2:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Yong Shi,11
,,,,,,,,,,,,
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MMME1020/P2/01,Drawing For Design,Practical,41,Friday,9:00,11:00,2:00,PMB-301*,PMB Architecture Teaching Room 301 - Level 3 - Priority by Faculty Office of Science and Engineering (Architecture),52,Amarpreet Gill,"2, 4-14"
MMME2042/S1/01,"Design, Manufacture and Project",Seminar,38,Friday,9:00,11:00,2:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,"Yong Ren,Kok-Hoong Wong,Gavin Lai,Adam Rushworth","2, 4-14"
MMME3096/S1/01,Industrial Design Professional Practice 3B,Seminar,52,Friday,9:00,11:00,2:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Luis Moreno Leyva,A Pdm New Staff",4月14日
MMME2040/L1/01,Industrial Design and Professional practice 2,Clinical Skills,40,Friday,9:00,12:00,3:00,PMB-205*,PMB Lab Room 205 - Level 2 - PDM Lab,50,A Pdm New Staff 2,4月14日
MMME1042/S1/01,Mathematics for Engineers,Seminar,52,Friday,10:00,11:00,1:00,DB-A04+,DB-A04 - Teaching Room A04,60,"Tianlun Fei,Xinyu Zhang,Xiaogang Yang","2, 4-14"
MMME1042/S1/02,Mathematics for Engineers,Seminar,52,Friday,11:00,12:00,1:00,DB-A04+,DB-A04 - Teaching Room A04,60,"Tianlun Fei,Xinyu Zhang,Xiaogang Yang","2, 4-14"
MMME1019/S1/01,Thermodynamics & Fluid Mechanics 1,Seminar,100,Friday,12:00,13:00,1:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Xinyu Zhang,"2, 4-14"
MMME2038/S1/01,Mechanics of Solids,Seminar,24,Friday,12:00,14:00,2:00,DB-B04+,The Lord Dearing Building - Teaching Room B04,25,Jiawa Lu,"2, 4-14"
MMME3035/S1/01,Manufacturing Process Capability,Seminar,50,Friday,12:00,14:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,Adam Rushworth,"2, 4-14"
MMME2039/L3-1/01,Design Comunication,Lecture,40,Friday,13:00,15:00,2:00,PMB-301*,PMB Architecture Teaching Room 301 - Level 3 - Priority by Faculty Office of Science and Engineering (Architecture),52,"Amarpreet Gill,Luis Moreno Leyva","2, 4-8"
MMME2039/L3-2/01,Design Comunication,Lecture,40,Friday,13:00,15:00,2:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Amarpreet Gill,Luis Moreno Leyva",9月13日
MMME3026/S1/01,Computer Modelling Techniques,Seminar,38,Friday,14:00,15:00,1:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,"Robert Pierce,Dunant Halim,Xiaogang Yang","2, 4-14"
MMME1014/L1/01,Industrial Design,Lecture,41,Friday,15:00,18:00,3:00,PMB-301*,PMB Architecture Teaching Room 301 - Level 3 - Priority by Faculty Office of Science and Engineering (Architecture),52,A Pdm New Staff 2,"2, 4-14"
MMME2042/C1/01,"Design, Manufacture and Project",Computing,38,Friday,15:00,18:00,3:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Kok-Hoong Wong,Adam Rushworth","2, 4-14"
MMME1041/C1/01,"Programming, Professional and Laboratory skills",Computing,52,Friday,16:00,18:00,2:00,PB-226(COMP)+,Portland Building-Computer Lab -226 Level 2,72,"Yong Ren,Gavin Lai","2, 4-14"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weeks 2 & 4-14 = Autumn semester; Weeks 23-34 = Spring semester,,,,,,,,,,,,
