Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS3002/S1/02,Dissertation: Preliminary Analysis,Seminar,17,Thursday,17:00,18:00,1:00,TB-318+,Teaching Building Seminar Room 318 - Level 3,20,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS1004/S1/04,Introduction to Comparative Politics (20 credits),Seminar,20,Thursday,17:00,18:00,1:00,TB-211+,Teaching Building Seminar Room 211 - Level 2,20,David Kiwuwa,"2, 4-14"
INTS3001/L1/01,China and the World,Lecture,35,Thursday,17:00,18:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Joseph Askew,"2, 4-14"
CHIN2019/S1/02,The Rise of Modern China (20 credits),Seminar,20,Thursday,17:00,18:00,1:00,TB-119+,Teaching Building Seminar Room 119 - Level 1,41,Tracey Fallon,4月13日
,,,,,,,,,,,,
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS3012/S1/01,Contemporary Security: theories and issues,Seminar,13,Friday,9:00,10:00,1:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Julia Trombetta,"2, 4-14"
INTS3001/S1/02,China and the World,Seminar,18,Friday,9:00,11:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Joseph Askew,"2, 4-14"
INTS3012/S1/02,Contemporary Security: theories and issues,Seminar,13,Friday,10:00,11:00,1:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Julia Trombetta,"2, 4-14"
INTS1002/S1/02,Issues in Global Relations,Seminar,14,Friday,13:00,14:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Tapiwa Matonhodze (Gta),"2, 4-13"
INTS4015/S1/01,Contemporary Security: theories and issues,Seminar,20,Friday,13:00,14:00,1:00,TB-406+,Teaching Building Seminar Room 406 - Level 4,20,Julia Trombetta,"2, 4-14"
INTS3001/S1/01,China and the World,Seminar,18,Friday,13:00,15:00,2:00,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Joseph Askew,"2, 4-14"
INTS1002/S1/01,Issues in Global Relations,Seminar,14,Friday,14:00,15:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Tapiwa Matonhodze (Gta),"2, 4-13"
INTS3002/S1/03,Dissertation: Preliminary Analysis,Seminar,17,Friday,15:00,16:00,1:00,TB-408+,Teaching Building Seminar Room 408 - Level 4,22,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS3002/S1/04,Dissertation: Preliminary Analysis,Seminar,17,Friday,16:00,17:00,1:00,TB-408+,Teaching Building Seminar Room 408 - Level 4,22,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS3002/S1/05,Dissertation: Preliminary Analysis,Seminar,17,Friday,17:00,18:00,1:00,TB-408+,Teaching Building Seminar Room 408 - Level 4,22,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS1017/S1/01,Understanding the West: Europe Cradle of Western Civilization (10 credits),Seminar,15,Friday,17:00,18:00,1:00,TB-321+,Teaching Building Seminar Room 321 - Level 3,20,"Joseph Askew,Matteo Salonia","2, 4-14"
